iter	Passed	Remaining
574	2855	2110
575	2860	2105
576	2865	2100
577	2871	2096
578	2876	2091
579	2882	2087
580	2887	2082
581	2893	2078
582	2899	2074
583	2904	2069
584	2909	2063
585	2914	2059
586	2919	2054
587	2924	2049
588	2930	2044
589	2935	2039
590	2940	2034
591	2945	2030
592	2950	2025
593	2955	2020
594	2959	2014
595	2964	2009
596	2968	2004
597	2973	1999
598	2979	1994
599	2985	1990
600	2990	1985
601	2995	1980
602	3000	1975
603	3005	1970
604	3010	1965
605	3016	1960
606	3021	1956
607	3026	1951
608	3031	1946
609	3035	1940
610	3040	1935
611	3044	1930
612	3050	1925
613	3054	1920
614	3059	1915
615	3063	1909
616	3067	1904
617	3072	1899
618	3078	1894
619	3083	1889
620	3088	1884
621	3094	1880
622	3100	1875
623	3104	1870
624	3110	1866
625	3116	1861
626	3121	1856
627	3126	1851
628	3130	1846
629	3135	1841
630	3140	1836
631	3146	1831
632	3150	1826
633	3155	1821
634	3160	1816
635	3164	1811
636	3169	1806
637	3175	1801
638	3179	1796
639	3184	1791
640	3189	1786
641	3194	1781
642	3200	1776
643	3205	1772
644	3210	1767
645	3215	1762
646	3221	1757
647	3225	1752
648	3230	1747
649	3235	1742
650	3239	1736
651	3244	1731
652	3249	1726
653	3253	1721
654	3258	1716
655	3262	1710
656	3267	1705
657	3272	1700
658	3276	1695
659	3281	1690
660	3286	1685
661	3292	1680
662	3297	1676
663	3302	1671
664	3307	1666
665	3311	1660
666	3317	1656
667	3322	1651
668	3326	1646
669	3331	1640
670	3336	1636
671	3341	1630
672	3347	1626
673	3353	1621
674	3357	1616
675	3363	1611
676	3367	1606
677	3372	1601
678	3377	1596
679	3382	1591
680	3387	1586
681	3393	1582
682	3397	1577
683	3403	1572
684	3408	1567
685	3412	1562
686	3417	1557
687	3422	1552
688	3427	1547
689	3433	1542
690	3439	1537
691	3445	1533
692	3450	1528
693	3455	1523
694	3459	1518
695	3464	1513
696	3468	1507
697	3473	1502
698	3478	1497
699	3483	1492
700	3487	1487
701	3492	1482
702	3497	1477
703	3501	1472
704	3506	1467
705	3510	1461
706	3515	1456
707	3520	1452
708	3525	1447
709	3530	1441
710	3534	1436
711	3538	1431
712	3543	1426
713	3548	1421
714	3553	1416
715	3557	1411
716	3562	1406
717	3567	1401
718	3572	1396
719	3576	1390
720	3582	1386
721	3586	1381
722	3591	1375
723	3597	1371
724	3602	1366
725	3607	1361
726	3612	1356
727	3616	1351
728	3621	1346
729	3626	1341
730	3630	1335
731	3635	1331
732	3640	1326
733	3645	1321
734	3649	1315
735	3653	1310
736	3658	1305
737	3663	1300
738	3667	1295
739	3671	1290
740	3676	1285
741	3681	1279
742	3685	1274
743	3690	1269
744	3694	1264
745	3699	1259
746	3704	1254
747	3708	1249
748	3713	1244
749	3717	1239
750	3721	1234
751	3726	1228
752	3730	1223
753	3735	1218
754	3740	1213
755	3744	1208
756	3749	1203
757	3753	1198
758	3758	1193
759	3762	1188
760	3766	1183
761	3771	1177
762	3776	1172
763	3781	1168
764	3787	1163
765	3792	1158
766	3798	1153
767	3802	1148
768	3807	1143
769	3811	1138
770	3816	1133
771	3820	1128
772	3825	1123
773	3831	1118
774	3835	1113
775	3840	1108
776	3844	1103
777	3849	1098
778	3854	1093
779	3859	1088
780	3863	1083
781	3867	1078
782	3872	1073
783	3878	1068
784	3882	1063
785	3887	1058
786	3891	1053
787	3895	1048
788	3900	1043
789	3905	1038
790	3910	1033
791	3914	1028
792	3918	1022
793	3923	1018
794	3928	1013
795	3933	1007
796	3937	1002
797	3942	997
798	3947	992
799	3951	987
800	3955	982
801	3961	977
802	3965	972
803	3970	967
804	3974	962
805	3980	958
806	3985	953
807	3989	948
808	3995	943
809	4000	938
810	4005	933
811	4009	928
812	4014	923
813	4019	918
814	4024	913
815	4028	908
816	4033	903
817	4037	898
818	4041	893
819	4045	888
820	4050	883
821	4054	877
822	4059	873
823	4064	868
824	4069	863
825	4074	858
826	4078	853
827	4083	848
828	4088	843
829	4093	838
830	4097	833
831	4102	828
832	4105	823
833	4110	818
834	4114	813
835	4118	807
836	4123	802
837	4127	797
838	4132	793
839	4137	788
840	4142	783
841	4147	778
842	4151	773
843	4155	768
844	4160	763
845	4165	758
846	4169	753
847	4174	748
848	4179	743
849	4184	738
850	4189	733
851	4194	728
852	4200	723
853	4205	718
854	4210	713
855	4214	709
856	4219	704
857	4223	699
858	4228	694
859	4232	689
860	4236	683
861	4240	678
862	4245	673
863	4249	668
864	4254	663
865	4259	659
866	4264	654
867	4268	649
868	4273	644
869	4277	639
870	4281	634
871	4286	629
872	4291	624
873	4296	619
874	4300	614
875	4305	609
876	4309	604
877	4313	599
878	4318	594
879	4323	589
880	4328	584
881	4332	579
882	4337	574
883	4341	569
884	4345	564
885	4350	559
886	4354	554
887	4360	549
888	4365	545
889	4369	540
890	4374	535
891	4379	530
892	4384	525
893	4388	520
894	4394	515
895	4398	510
896	4403	505
897	4408	500
898	4413	495
899	4417	490
900	4422	485
901	4427	481
902	4432	476
903	4436	471
904	4441	466
905	4445	461
906	4449	456
907	4454	451
908	4458	446
909	4463	441
910	4468	436
911	4473	431
912	4478	426
913	4482	421
914	4486	416
915	4491	411
916	4496	406
917	4500	402
918	4505	397
919	4510	392
920	4515	387
921	4519	382
922	4524	377
923	4528	372
924	4532	367
925	4537	362
926	4542	357
927	4547	352
928	4551	347
929	4555	342
930	4560	337
931	4564	333
932	4569	328
933	4574	323
934	4579	318
935	4584	313
936	4590	308
937	4595	303
938	4599	298
939	4604	293
940	4609	289
941	4613	284
942	4618	279
943	4622	274
944	4627	269
945	4631	264
946	4636	259
947	4641	254
948	4646	249
949	4650	244
950	4654	239
951	4658	234
952	4663	229
953	4668	225
954	4673	220
955	4678	215
956	4682	210
957	4687	205
958	4691	200
959	4696	195
960	4700	190
961	4704	185
962	4709	180
963	4714	176
964	4719	171
965	4724	166
966	4729	161
967	4733	156
968	4737	151
969	4742	146
970	4746	141
971	4751	136
972	4755	131
973	4760	127
974	4764	122
975	4769	117
976	4774	112
977	4779	107
978	4784	102
979	4789	97
980	4794	92
981	4800	87
982	4805	83
983	4809	78
984	4814	73
985	4818	68
986	4822	63
987	4827	58
988	4832	53
989	4837	48
990	4842	43
991	4846	39
992	4850	34
993	4855	29
994	4859	24
995	4864	19
996	4868	14
997	4873	9
998	4877	4
999	4883	0
