iter	RMSE
0	123.8195671
1	116.6357738
2	109.7581858
3	103.5868984
4	97.9236866
5	92.76126295
6	88.03400109
7	83.65367513
8	79.76125191
9	76.16929992
10	72.89431625
11	69.86783127
12	67.22004234
13	64.77695769
14	62.53927415
15	60.47960971
16	58.65003506
17	56.927028
18	55.42043869
19	54.04064395
20	52.78445269
21	51.65184011
22	50.60090894
23	49.66402335
24	48.83409385
25	48.04922529
26	47.34405972
27	46.67912125
28	46.12715826
29	45.58392722
30	45.10135876
31	44.68784792
32	44.24010659
33	43.86164905
34	43.54433824
35	43.23988556
36	42.90903658
37	42.63241124
38	42.37710075
39	42.15760987
40	41.94470365
41	41.75483522
42	41.57867337
43	41.39140182
44	41.24066886
45	41.09582567
46	40.92698778
47	40.80216839
48	40.69309244
49	40.55532576
50	40.43918418
51	40.33236461
52	40.23770002
53	40.14662676
54	40.07255872
55	39.95922544
56	39.86753933
57	39.79427126
58	39.74059698
59	39.66574357
60	39.60870936
61	39.53686609
62	39.44337821
63	39.35097727
64	39.26175677
65	39.20705093
66	39.15198956
67	39.07171709
68	39.00027377
69	38.95744859
70	38.91836019
71	38.849382
72	38.78716573
73	38.73361279
74	38.66291348
75	38.61690437
76	38.58010246
77	38.54643125
78	38.50258846
79	38.45616982
80	38.40299449
81	38.34440545
82	38.29381163
83	38.24957128
84	38.18856145
85	38.14531687
86	38.11250874
87	38.06135742
88	38.030312
89	38.00846115
90	37.96745401
91	37.92297524
92	37.87185927
93	37.83353322
94	37.80272438
95	37.75994321
96	37.73047203
97	37.69713255
98	37.66390284
99	37.64499878
100	37.607506
101	37.57382498
102	37.54836072
103	37.51679485
104	37.48664852
105	37.44373064
106	37.41687113
107	37.39260996
108	37.35801751
109	37.33255289
110	37.28622682
111	37.26579647
112	37.23870505
113	37.21217642
114	37.16940331
115	37.15336293
116	37.13118012
117	37.10659166
118	37.08837235
119	37.05677025
120	37.02987984
121	36.99103402
122	36.97228903
123	36.95163664
124	36.92451308
125	36.90552037
126	36.88586864
127	36.86575028
128	36.82794024
129	36.8080091
130	36.77181619
131	36.75282298
132	36.73833784
133	36.72288395
134	36.70728319
135	36.6840726
136	36.65454548
137	36.62950602
138	36.60318943
139	36.57987801
140	36.55632773
141	36.5371713
142	36.50373494
143	36.47891718
144	36.45335182
145	36.42728511
146	36.40763479
147	36.39010253
148	36.36436319
149	36.34963458
150	36.32906047
151	36.31073766
152	36.2906283
153	36.26481126
154	36.23271614
155	36.20927325
156	36.18462927
157	36.14595233
158	36.12661014
159	36.10916629
160	36.08622566
161	36.06005729
162	36.03596587
163	36.01615692
164	36.00548426
165	35.98692393
166	35.97164806
167	35.91491923
168	35.89907868
169	35.87649258
170	35.8637199
171	35.85260819
172	35.83268101
173	35.8142846
174	35.77316822
175	35.75331017
176	35.73469975
177	35.69534845
178	35.66974569
179	35.64891691
180	35.63325483
181	35.62146493
182	35.60468911
183	35.58595888
184	35.56991024
185	35.55703751
186	35.54270664
187	35.50892338
188	35.48826542
189	35.47072542
190	35.46006243
191	35.44636822
192	35.42430016
193	35.41065598
194	35.39817934
195	35.3799081
196	35.36617689
197	35.35162017
198	35.3384194
199	35.32722234
200	35.30745023
201	35.29366659
202	35.27321148
203	35.25744954
204	35.23352774
205	35.22411796
206	35.20345882
207	35.19084157
208	35.17598153
209	35.14747062
210	35.13446769
211	35.11345352
212	35.0935751
213	35.08272431
214	35.07219402
215	35.06201236
216	35.04765785
217	35.03199439
218	35.01715902
219	35.00765861
220	34.99781096
221	34.97102042
222	34.95511055
223	34.93768597
224	34.9282019
225	34.91052163
226	34.89401019
227	34.86895081
228	34.8544132
229	34.83811662
230	34.82232443
231	34.80645399
232	34.79867549
233	34.78384072
234	34.76970106
235	34.75478696
236	34.74560707
237	34.73050806
238	34.72035396
239	34.7048894
240	34.68574432
241	34.67128722
242	34.6559924
243	34.64436394
244	34.62979765
245	34.61550426
246	34.60617312
247	34.58529632
248	34.57918311
249	34.56695523
250	34.5552802
251	34.53420385
252	34.51789744
253	34.50292288
254	34.48963324
255	34.4795462
256	34.47207789
257	34.46132181
258	34.44906936
259	34.43378431
260	34.42068474
261	34.40763045
262	34.39314201
263	34.37613809
264	34.35424413
265	34.34051144
266	34.32720064
267	34.30253724
268	34.28731896
269	34.27068659
270	34.2617569
271	34.24823931
272	34.24331824
273	34.23855419
274	34.22306409
275	34.21792337
276	34.19676014
277	34.18544284
278	34.16734609
279	34.15575324
280	34.14305054
281	34.13658782
282	34.11802409
283	34.10049926
284	34.08682024
285	34.07664811
286	34.05941928
287	34.0446454
288	34.03637528
289	34.02011524
290	34.01001364
291	33.999913
292	33.98601892
293	33.97585655
294	33.96690025
295	33.95652902
296	33.94735726
297	33.94247428
298	33.93002315
299	33.91964474
300	33.89924284
301	33.88696966
302	33.87572151
303	33.86468563
304	33.84293752
305	33.82712469
306	33.81759574
307	33.80468632
308	33.79405931
309	33.7853743
310	33.7774966
311	33.76892667
312	33.75366684
313	33.73908881
314	33.7313191
315	33.72422544
316	33.71440031
317	33.70430961
318	33.69584048
319	33.68895962
320	33.67814288
321	33.66420913
322	33.65327902
323	33.64501501
324	33.63612439
325	33.62578996
326	33.61804515
327	33.61359916
328	33.60667538
329	33.59346594
330	33.58903784
331	33.5852737
332	33.57528558
333	33.55612598
334	33.54692955
335	33.53800949
336	33.5291591
337	33.52091103
338	33.51314574
339	33.50804246
340	33.50016013
341	33.48968778
342	33.4785445
343	33.4679067
344	33.45186507
345	33.44045862
346	33.43300144
347	33.42190627
348	33.41391868
349	33.40622044
350	33.39626661
351	33.38897268
352	33.37971451
353	33.37212163
354	33.35763806
355	33.33406361
356	33.3268412
357	33.30838242
358	33.29704262
359	33.28678617
360	33.28286941
361	33.27546319
362	33.26611997
363	33.25228711
364	33.24511394
365	33.23622113
366	33.22477086
367	33.21306792
368	33.20429843
369	33.19837451
370	33.19007919
371	33.17975989
372	33.17162707
373	33.16257414
374	33.14786784
375	33.14000169
376	33.13074758
377	33.12078648
378	33.1163099
379	33.10627364
380	33.08704628
381	33.07885195
382	33.0642324
383	33.05507034
384	33.04921674
385	33.04430332
386	33.03910761
387	33.03124506
388	33.01847331
389	33.00936603
390	32.99979203
391	32.99176402
392	32.98548844
393	32.977909
394	32.96888438
395	32.96091568
396	32.95392998
397	32.94434569
398	32.93610352
399	32.93046996
400	32.92212643
401	32.90854859
402	32.89976969
403	32.89357816
404	32.88530072
405	32.87568747
406	32.86853673
407	32.86089745
408	32.85256154
409	32.84371822
410	32.83698968
411	32.83297815
412	32.82579029
413	32.81789314
414	32.81129337
415	32.80273251
416	32.79791664
417	32.79077765
418	32.78167721
419	32.77375735
420	32.76546969
421	32.75909498
422	32.74816465
423	32.74022458
424	32.73148905
425	32.72222364
426	32.71503603
427	32.70992746
428	32.69930018
429	32.69290652
430	32.68432644
431	32.67550919
432	32.66788961
433	32.66469998
434	32.65807601
435	32.64440558
436	32.63983017
437	32.63393249
438	32.63014343
439	32.62269008
440	32.6128941
441	32.60574934
442	32.59116429
443	32.58463127
444	32.57628907
445	32.57004734
446	32.56608301
447	32.55969514
448	32.55354634
449	32.54663185
450	32.54253292
451	32.5375097
